Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage
09-27-2025-Sat 11-55-11-AM,108.8,5.532,118.4,5.524,22.4888,107.7,5.528,108.9,5.58,22.6243,95.7,5.504,103.0,5.548,22.151,102.1,5.496,113.4,5.488,22.5565,106.9,5.512,21.543,112.5,5.516,100.4,5.52,21.6438,104.2,5.572,98.5,5.48,21.3736,108.0,5.548,104.0,5.472,21.6776,88.7,5.472
09-27-2025-Sat 11-55-13-AM,107.7,5.528,117.9,5.528,22.4888,107.4,5.532,108.1,5.58,22.692,95.1,5.508,103.3,5.552,22.3195,101.6,5.492,112.3,5.488,22.5227,,,21.6107,,,,,21.7115,,,,,21.4752,,,,,22.1171,,
09-27-2025-Sat 11-55-16-AM,110.5,5.624,122.1,5.624,22.4888,110.6,5.628,112.0,5.676,22.7251,99.0,5.6,107.2,5.644,22.151,105.0,5.588,114.7,5.584,22.5904,-0.1,3.24,21.6438,-0.1,2.372,-0.2,2.524,21.6438,-0.4,2.792,-0.2,2.428,21.4414,-0.2,1.48,-0.1,1.888,21.9139,-0.1,1.988
09-27-2025-Sat 11-57-18-AM,98.7,5.548,114.5,5.548,21.6107,104.1,5.552,105.1,5.596,21.3736,94.8,5.524,102.9,5.564,21.6107,99.3,5.512,105.2,5.504,21.7115,94.9,5.536,18.6377,107.4,5.536,95.0,5.544,19.5158,97.8,5.592,94.9,5.504,20.09,99.5,5.568,99.5,5.496,19.4481,85.4,5.5
09-27-2025-Sat 11-57-20-AM,97.9,5.556,113.7,5.556,21.6107,103.7,5.556,103.9,5.604,21.2382,94.5,5.532,102.7,5.576,21.5091,98.7,5.52,104.8,5.516,21.7115,,,18.4684,,,,,19.3804,,,,,19.8876,,,,,19.3126,,
09-27-2025-Sat 11-58-35-AM,92.6,5.58,112.8,5.58,18.4353,103.0,5.58,102.8,5.628,18.0644,94.0,5.556,102.1,5.6,18.9417,99.1,5.544,103.4,5.54,19.0764,89.9,5.568,12.7007,102.7,5.572,88.0,5.576,15.0608,94.0,5.624,94.1,5.536,15.6341,95.5,5.604,99.5,5.528,16.0389,86.3,5.532
09-27-2025-Sat 11-58-37-AM,90.2,5.58,110.1,5.58,18.3676,100.6,5.584,100.9,5.632,17.9967,92.9,5.56,100.4,5.6,18.7393,97.2,5.544,100.2,5.544,19.1103,87.4,5.572,12.5321,100.6,5.576,88.0,5.58,14.8584,92.2,5.624,90.7,5.544,15.4656,93.7,5.608,96.4,5.528,15.9712,82.3,5.536
09-27-2025-Sat 11-58-40-AM,89.1,5.584,108.4,5.58,18.3337,99.3,5.584,99.7,5.624,17.8274,92.2,5.56,99.3,5.6,18.7393,95.7,5.548,99.2,5.544,18.9756,86.2,5.576,12.4983,99.8,5.576,88.3,5.58,14.8584,91.3,5.62,89.2,5.544,15.3648,93.1,5.604,94.7,5.532,15.8365,80.9,5.536
09-27-2025-Sat 11-58-42-AM,88.3,5.588,107.7,5.584,18.266,98.4,5.588,98.7,5.628,17.7604,91.5,5.56,98.8,5.6,18.6377,94.9,5.552,98.2,5.548,18.9417,85.6,5.576,12.2967,99.4,5.576,88.4,5.58,14.7238,91.3,5.62,88.2,5.548,15.2971,92.8,5.608,93.6,5.532,15.6003,80.0,5.54
09-27-2025-Sat 11-58-44-AM,87.5,5.588,106.2,5.588,18.0644,98.1,5.588,97.7,5.632,17.6588,90.6,5.564,98.3,5.6,18.6039,94.4,5.552,97.7,5.548,18.7393,84.7,5.576,12.1951,98.9,5.58,88.6,5.584,14.5552,91.1,5.628,87.6,5.548,15.1285,92.5,5.608,92.9,5.536,15.7019,79.2,5.544
09-27-2025-Sat 11-59-42-AM,84.6,5.6,106.3,5.6,15.7688,98.9,5.6,97.4,5.644,15.4995,91.1,5.58,98.0,5.616,16.4106,94.9,5.568,96.3,5.564,16.5453,81.8,5.604,8.827,96.0,5.6,83.3,5.604,11.9258,88.6,5.648,87.3,5.572,12.162,88.7,5.628,93.4,5.56,13.2062,79.6,5.564
09-27-2025-Sat 11-59-45-AM,82.4,5.612,104.1,5.612,15.5672,96.7,5.608,96.0,5.652,15.3979,90.3,5.584,96.9,5.624,16.4106,93.6,5.576,94.5,5.572,16.4776,80.2,5.604,8.76007,94.6,5.604,83.0,5.608,11.7242,88.2,5.648,85.0,5.572,12.229,87.9,5.632,91.3,5.56,13.3409,77.4,5.568
09-27-2025-Sat 11-59-47-AM,81.5,5.612,102.9,5.608,15.4995,95.4,5.608,94.8,5.652,15.2632,89.2,5.58,95.7,5.62,16.4106,92.0,5.572,93.7,5.568,16.309,79.4,5.604,8.62542,93.7,5.604,83.1,5.608,11.6564,88.1,5.648,83.5,5.576,12.1282,87.6,5.628,89.8,5.56,13.1054,75.9,5.568
09-27-2025-Sat 11-59-50-AM,80.5,5.612,101.7,5.608,15.5333,94.4,5.612,94.1,5.648,15.2971,89.2,5.584,94.8,5.624,16.2752,91.4,5.576,93.1,5.572,16.4106,78.6,5.6,8.52462,93.7,5.6,82.9,5.604,11.5887,87.2,5.644,82.7,5.568,11.9935,87.5,5.628,88.9,5.56,13.2401,75.1,5.564
09-27-2025-Sat 11-59-52-AM,79.9,5.608,100.8,5.608,15.3979,93.7,5.608,93.3,5.648,15.1955,88.3,5.584,94.6,5.62,16.1736,90.5,5.572,92.7,5.572,16.2082,78.2,5.604,8.52462,93.5,5.604,83.0,5.608,11.4541,87.5,5.648,82.1,5.58,11.825,87.3,5.632,88.3,5.564,13.0038,75.0,5.572
09-27-2025-Sat 11-59-54-AM,79.6,5.612,100.5,5.612,15.4317,93.7,5.616,93.1,5.656,15.0947,88.4,5.592,94.6,5.624,16.1405,90.2,5.58,92.4,5.572,16.0728,78.2,5.608,8.3561,93.4,5.608,83.5,5.612,11.4202,87.6,5.656,81.9,5.58,11.9258,87.2,5.636,88.1,5.568,12.903,74.5,5.576
09-27-2025-Sat 12-00-02-PM,78.6,5.62,99.9,5.62,15.2293,92.8,5.62,92.8,5.66,14.8923,88.2,5.596,94.2,5.628,15.9712,89.8,5.584,91.4,5.58,15.8365,77.7,5.612,8.08678,92.4,5.616,83.7,5.62,11.117,87.7,5.656,81.2,5.584,11.5548,86.6,5.64,87.0,5.576,12.8023,73.9,5.576
09-27-2025-Sat 12-00-04-PM,78.4,5.62,99.7,5.624,15.1624,92.7,5.62,92.5,5.664,14.7907,88.3,5.596,94.1,5.636,15.7357,90.0,5.588,91.1,5.584,15.8026,77.6,5.612,7.91826,92.3,5.612,84.1,5.616,11.0501,87.3,5.656,80.9,5.584,11.4541,86.6,5.64,87.0,5.576,12.9369,73.4,5.58
09-27-2025-Sat 12-00-07-PM,77.9,5.628,99.3,5.624,15.0608,92.1,5.624,92.0,5.668,14.7907,88.0,5.6,94.3,5.632,15.8026,89.9,5.588,90.7,5.584,15.7688,77.5,5.616,7.81746,92.0,5.616,83.6,5.62,11.0162,87.5,5.66,80.5,5.584,11.1847,86.0,5.644,87.0,5.58,12.3975,73.1,5.584
09-27-2025-Sat 12-00-09-PM,77.1,5.624,98.8,5.624,14.8923,91.9,5.624,92.1,5.664,14.6899,88.0,5.6,94.0,5.632,15.6003,89.7,5.592,90.4,5.588,15.7357,77.3,5.616,7.7836,91.6,5.624,83.8,5.62,10.9154,87.5,5.664,80.6,5.592,11.1509,86.0,5.648,87.0,5.58,12.5321,73.2,5.584
09-27-2025-Sat 12-00-11-PM,77.2,5.628,98.8,5.628,14.8923,92.0,5.628,92.1,5.668,14.6222,88.2,5.604,94.1,5.636,15.5672,89.9,5.592,90.4,5.592,15.4995,77.3,5.62,7.68281,91.5,5.624,84.1,5.624,10.8477,87.4,5.66,80.5,5.592,11.2517,86.0,5.648,86.6,5.58,12.6676,73.2,5.584
09-27-2025-Sat 12-00-14-PM,76.6,5.628,98.7,5.628,14.8246,91.7,5.628,91.9,5.668,14.5552,87.7,5.6,93.6,5.64,15.4995,89.6,5.592,89.9,5.592,15.4995,76.8,5.62,7.61588,91.3,5.62,83.6,5.628,10.7469,87.3,5.664,80.1,5.592,10.8477,85.8,5.648,86.1,5.58,12.1951,72.8,5.588
09-27-2025-Sat 12-00-16-PM,76.2,5.632,98.2,5.628,14.7238,91.3,5.628,91.6,5.672,14.4206,87.8,5.604,93.9,5.64,15.4656,89.4,5.596,89.9,5.592,15.3309,76.6,5.62,7.48122,91.4,5.62,83.5,5.628,10.7469,87.3,5.66,79.8,5.592,10.9154,85.7,5.652,86.1,5.58,12.229,72.5,5.588
09-27-2025-Sat 12-00-19-PM,75.8,5.632,97.9,5.628,14.656,91.3,5.628,91.3,5.672,14.3867,87.8,5.604,93.6,5.64,15.3309,89.3,5.592,89.6,5.592,15.2293,76.4,5.624,7.31269,91.0,5.624,83.7,5.624,10.5784,86.8,5.664,79.6,5.592,10.713,85.4,5.652,86.0,5.584,12.162,72.6,5.588
09-27-2025-Sat 12-01-57-PM,73.8,5.616,97.4,5.612,11.3863,91.8,5.616,91.4,5.652,11.4202,86.7,5.588,91.3,5.628,12.4313,89.1,5.58,87.6,5.58,11.9935,71.4,5.616,4.01638,85.8,5.616,76.1,5.62,7.2119,83.1,5.656,76.4,5.588,7.71667,80.6,5.64,83.6,5.576,9.53416,69.6,5.584
09-27-2025-Sat 12-02-00-PM,72.1,5.624,95.7,5.62,11.3533,89.7,5.624,89.6,5.66,11.3863,85.7,5.6,90.3,5.632,12.3636,87.8,5.592,85.8,5.584,11.8919,70.5,5.624,3.88253,85.6,5.624,76.4,5.624,7.04338,82.9,5.66,75.3,5.592,7.54815,80.4,5.648,82.4,5.584,9.50029,68.9,5.588
09-27-2025-Sat 12-02-02-PM,71.1,5.62,94.0,5.616,11.3194,88.2,5.62,88.5,5.66,11.3194,85.2,5.596,89.6,5.632,12.3975,87.2,5.588,84.7,5.584,11.9596,70.1,5.62,3.81479,84.8,5.62,76.8,5.624,7.07724,82.5,5.66,74.7,5.596,7.38043,79.8,5.644,81.9,5.584,9.29871,67.8,5.588
09-27-2025-Sat 12-02-04-PM,70.3,5.624,93.0,5.62,11.1847,87.5,5.62,87.8,5.656,11.3194,84.6,5.592,89.0,5.628,12.3636,86.3,5.588,84.1,5.584,11.9596,69.4,5.62,3.78173,84.2,5.62,76.6,5.62,7.00951,82.3,5.656,74.2,5.592,7.24496,79.3,5.644,81.0,5.58,9.29871,67.3,5.588
09-27-2025-Sat 12-02-07-PM,69.9,5.628,92.8,5.624,11.2186,86.9,5.624,86.9,5.664,11.2855,84.2,5.6,88.5,5.632,12.3636,85.9,5.592,83.7,5.592,11.825,69.1,5.62,3.74787,84.3,5.624,76.4,5.628,6.94258,82.1,5.664,73.7,5.596,7.48122,79.3,5.648,80.7,5.584,9.09632,67.3,5.588
09-27-2025-Sat 12-02-09-PM,69.4,5.628,92.0,5.628,11.117,86.2,5.628,86.6,5.672,11.1847,83.9,5.604,88.0,5.636,12.2967,85.2,5.596,83.4,5.592,11.6895,68.7,5.624,3.74787,83.7,5.624,76.9,5.628,6.87566,82.0,5.664,73.3,5.596,7.51428,79.3,5.652,80.4,5.588,8.99553,66.2,5.592
09-27-2025-Sat 12-02-12-PM,69.1,5.636,91.6,5.632,11.117,85.7,5.632,85.9,5.672,11.1509,83.8,5.608,87.9,5.64,12.162,85.0,5.596,83.0,5.596,11.7572,68.6,5.624,3.61321,83.9,5.628,77.0,5.632,6.80793,81.6,5.664,72.0,5.604,7.17804,79.1,5.656,79.9,5.592,9.23178,66.5,5.6
09-27-2025-Sat 12-02-14-PM,68.5,5.636,91.1,5.632,11.1509,85.1,5.632,85.8,5.672,11.0831,83.6,5.608,87.6,5.64,12.1282,84.6,5.604,82.7,5.592,11.6564,68.3,5.628,3.54628,83.2,5.628,77.1,5.632,6.80793,81.5,5.668,72.8,5.6,7.17804,79.0,5.652,79.8,5.592,8.72621,66.1,5.596
09-27-2025-Sat 12-02-16-PM,68.1,5.632,90.7,5.632,10.9154,84.7,5.636,85.5,5.672,11.0501,83.1,5.608,87.0,5.644,12.0943,84.3,5.604,82.5,5.596,11.5548,68.4,5.632,3.54628,83.0,5.632,77.2,5.632,6.70713,81.2,5.668,72.4,5.604,7.17804,79.0,5.652,79.4,5.592,8.55768,66.0,5.6
09-27-2025-Sat 12-02-19-PM,67.6,5.64,90.3,5.636,10.9823,84.6,5.636,84.8,5.672,11.0162,83.3,5.612,86.8,5.648,12.0943,83.9,5.604,82.3,5.6,11.5548,68.3,5.628,3.47855,82.9,5.628,77.4,5.632,6.60634,81.4,5.668,72.2,5.604,7.17804,78.9,5.656,79.3,5.592,8.65928,65.7,5.596
09-27-2025-Sat 12-02-21-PM,67.3,5.64,90.2,5.636,10.9485,84.1,5.636,85.1,5.672,10.9154,83.3,5.612,87.0,5.644,12.0604,83.9,5.604,82.3,5.6,11.3863,,,3.37776,,,,,6.64021,,,,,7.31269,,,,,8.827,,
09-27-2025-Sat 12-03-26-PM,64.4,5.64,86.8,5.64,9.29871,81.4,5.64,82.0,5.68,9.50029,81.4,5.616,84.5,5.648,10.5106,81.2,5.608,79.8,5.608,9.56803,65.2,5.632,2.00053,80.1,5.632,73.8,5.636,5.09284,78.9,5.668,70.8,5.604,5.66454,76.0,5.66,77.0,5.596,7.51428,63.4,5.6
09-27-2025-Sat 12-03-28-PM,63.8,5.636,86.3,5.636,9.23178,80.8,5.636,80.9,5.672,9.46724,80.7,5.612,83.7,5.648,10.5106,80.8,5.608,79.1,5.604,9.56803,65.0,5.632,1.9328,79.7,5.632,73.8,5.636,5.05898,78.5,5.668,70.5,5.604,5.6984,75.8,5.656,76.4,5.596,7.2119,63.3,5.604
09-27-2025-Sat 12-03-31-PM,63.8,5.644,85.8,5.64,9.23178,80.4,5.636,81.4,5.676,9.43337,80.7,5.616,83.7,5.648,10.5106,80.7,5.612,78.9,5.608,9.53416,,,1.86587,,,,,5.05898,,,,,5.46214,,,,,7.11111,,
09-27-2025-Sat 12-05-35-PM,63.3,5.628,84.4,5.628,6.70713,80.0,5.624,80.3,5.66,7.14498,78.7,5.604,80.6,5.636,8.08678,80.0,5.596,76.1,5.592,6.64021,63.5,5.628,-0.117473,75.4,5.628,69.8,5.632,2.53755,74.4,5.668,67.5,5.604,3.07538,72.0,5.652,73.2,5.592,5.19363,60.3,5.6
09-27-2025-Sat 12-05-37-PM,61.5,5.636,82.9,5.632,6.64021,78.2,5.632,79.2,5.668,7.07724,77.9,5.608,79.8,5.64,8.08678,78.9,5.6,75.1,5.596,6.67327,63.3,5.632,-0.151053,74.8,5.632,69.1,5.632,2.57142,74.1,5.668,66.6,5.608,2.97459,71.6,5.656,72.6,5.596,4.89126,59.9,5.604
09-27-2025-Sat 12-05-39-PM,60.9,5.636,82.3,5.636,6.64021,77.2,5.636,78.1,5.672,7.14498,77.5,5.616,79.3,5.644,7.98599,77.9,5.608,74.4,5.608,6.64021,62.7,5.636,-0.151053,74.4,5.636,68.9,5.636,2.50449,74.1,5.668,66.0,5.612,3.04232,71.0,5.656,71.9,5.596,4.85739,59.1,5.604
09-27-2025-Sat 12-05-42-PM,60.1,5.644,81.6,5.636,6.60634,76.3,5.636,77.3,5.672,6.97645,76.9,5.612,78.7,5.644,8.08678,77.2,5.608,73.8,5.604,6.50474,61.9,5.628,-0.218214,74.0,5.632,68.7,5.636,2.50449,74.1,5.668,65.4,5.608,3.24391,70.7,5.656,71.5,5.6,4.89126,59.0,5.604
09-27-2025-Sat 12-05-44-PM,60.1,5.644,80.9,5.644,6.53942,75.5,5.64,76.7,5.676,6.97645,76.9,5.62,78.4,5.652,7.95212,77.0,5.612,73.7,5.612,6.40395,,,-0.251791,,,,,2.47062,,,,,2.90766,,,,,5.02511,,
09-27-2025-Sat 12-07-18-PM,57.1,5.652,77.2,5.652,5.09284,72.4,5.648,73.5,5.684,5.52988,74.7,5.632,75.2,5.656,6.50474,74.1,5.62,70.6,5.616,4.92432,59.7,5.64,-1.29243,71.0,5.648,66.4,5.648,1.02566,71.5,5.68,63.0,5.624,1.86587,68.4,5.668,68.4,5.612,3.47855,56.7,5.616
09-27-2025-Sat 12-07-20-PM,56.5,5.656,76.9,5.652,5.05898,71.8,5.652,73.0,5.688,5.46214,74.1,5.632,75.1,5.66,6.50474,73.9,5.628,70.4,5.624,4.92432,59.8,5.648,-1.326,70.8,5.652,66.4,5.648,1.12726,71.4,5.684,62.8,5.624,1.73202,68.4,5.676,68.1,5.612,3.51242,56.5,5.624
09-27-2025-Sat 12-07-22-PM,56.1,5.656,76.6,5.656,4.95818,71.7,5.656,73.1,5.688,5.46214,73.9,5.632,74.7,5.664,6.47168,73.4,5.628,70.3,5.628,4.82352,59.5,5.648,-1.39308,70.8,5.652,66.1,5.652,1.02566,71.4,5.684,62.6,5.624,1.86587,68.2,5.672,67.7,5.62,3.3447,56.5,5.624
09-27-2025-Sat 12-07-25-PM,56.5,5.656,76.3,5.656,5.02511,71.3,5.66,72.8,5.692,5.52988,73.7,5.64,74.5,5.664,6.47168,73.4,5.632,69.8,5.628,4.82352,59.3,5.652,-1.326,70.6,5.652,66.2,5.652,0.959544,71.2,5.688,62.6,5.628,1.69815,68.4,5.676,67.7,5.616,3.31083,56.6,5.624
09-27-2025-Sat 12-07-27-PM,56.0,5.656,76.4,5.66,4.92432,71.1,5.66,72.5,5.692,5.42908,73.7,5.636,74.6,5.664,6.47168,73.2,5.628,69.9,5.628,4.7566,59.3,5.652,-1.49378,70.8,5.656,66.1,5.656,0.993411,71.3,5.688,62.2,5.628,1.66429,68.6,5.68,67.4,5.62,3.17617,56.3,5.628
09-27-2025-Sat 12-08-05-PM,56.7,5.644,76.7,5.644,4.42035,71.8,5.644,73.2,5.68,4.89126,73.3,5.624,74.4,5.652,5.86612,73.9,5.624,70.8,5.616,4.05025,58.6,5.64,-1.89651,69.8,5.648,66.8,5.644,0.388656,70.2,5.676,62.4,5.62,1.12726,67.6,5.668,67.0,5.616,2.63915,55.8,5.62
09-27-2025-Sat 12-08-08-PM,55.5,5.66,75.7,5.656,4.35343,70.6,5.656,72.2,5.692,4.79046,73.0,5.64,73.9,5.664,5.7992,73.3,5.628,69.7,5.628,4.11717,57.8,5.648,-1.93007,69.3,5.652,66.3,5.652,0.388656,70.0,5.684,61.8,5.628,1.0934,67.3,5.672,66.4,5.624,2.80687,55.5,5.628
09-27-2025-Sat 12-08-10-PM,54.6,5.66,74.7,5.656,4.21796,69.8,5.66,71.1,5.692,4.85739,72.4,5.636,73.0,5.668,5.7992,72.4,5.636,69.2,5.632,4.11717,57.5,5.652,-1.93007,69.3,5.656,66.0,5.656,0.320923,69.5,5.688,61.6,5.628,0.925678,67.4,5.68,65.9,5.624,2.773,55.0,5.628
09-27-2025-Sat 12-08-13-PM,54.4,5.668,74.5,5.668,4.21796,69.5,5.668,71.0,5.696,4.72273,72.0,5.644,72.8,5.676,5.7992,71.8,5.64,68.6,5.636,4.08411,57.7,5.66,-2.03062,69.0,5.66,65.5,5.66,0.187071,69.8,5.692,61.0,5.636,0.959544,67.2,5.68,66.1,5.632,2.47062,55.0,5.632
09-27-2025-Sat 12-08-15-PM,54.1,5.668,74.1,5.668,4.21796,69.1,5.672,71.1,5.704,4.65581,72.3,5.648,72.7,5.676,5.73146,71.6,5.64,68.6,5.64,4.01638,57.5,5.664,-2.03062,69.0,5.668,65.6,5.668,0.153205,70.1,5.696,61.3,5.64,0.925678,67.5,5.684,66.0,5.632,2.43676,54.9,5.636
09-27-2025-Sat 12-08-17-PM,54.0,5.672,73.8,5.676,4.15104,69.2,5.672,70.8,5.704,4.58807,72.1,5.648,72.8,5.68,5.83226,71.6,5.64,68.4,5.64,3.94945,57.4,5.66,-2.16494,68.7,5.664,65.5,5.664,0.0870847,70.1,5.696,61.3,5.64,0.993411,67.4,5.688,66.0,5.636,2.36983,55.0,5.636
09-27-2025-Sat 12-08-20-PM,53.9,5.676,73.5,5.672,4.11717,69.1,5.672,70.9,5.704,4.52115,72.1,5.652,72.7,5.68,5.6984,71.6,5.644,68.1,5.644,3.94945,57.1,5.664,-2.26561,68.6,5.668,65.3,5.668,0.0193522,70.2,5.7,61.1,5.644,0.925678,67.3,5.688,65.8,5.636,2.33597,54.8,5.64
09-27-2025-Sat 12-08-53-PM,53.7,5.648,73.4,5.648,3.31083,69.2,5.648,70.9,5.68,3.714,71.4,5.632,72.2,5.66,4.99205,72.1,5.624,68.2,5.62,3.04232,56.9,5.648,-3.37259,68.7,5.652,66.2,5.652,-1.02379,69.4,5.68,61.9,5.624,-0.218214,67.2,5.672,66.1,5.62,1.195,55.3,5.624
09-27-2025-Sat 12-08-55-PM,52.5,5.668,72.6,5.668,3.24391,68.1,5.668,69.8,5.7,3.714,71.0,5.644,71.4,5.672,4.89126,71.4,5.64,67.6,5.636,3.04232,56.3,5.66,-3.47332,67.8,5.664,65.3,5.664,-1.05743,68.9,5.696,60.3,5.64,-0.31895,66.4,5.684,65.1,5.632,1.26112,54.5,5.636
09-27-2025-Sat 12-08-58-PM,51.9,5.672,72.0,5.676,3.14311,67.6,5.672,69.2,5.704,3.57934,70.9,5.656,71.1,5.68,4.82352,70.8,5.644,67.2,5.644,3.14311,55.4,5.664,-3.64105,67.3,5.668,64.9,5.668,-1.09101,68.4,5.696,59.8,5.644,-0.3524,66.1,5.688,64.6,5.636,1.02566,53.8,5.64
09-27-2025-Sat 12-09-00-PM,51.5,5.676,71.8,5.676,3.14311,67.0,5.672,69.0,5.704,3.57934,70.6,5.652,71.0,5.68,4.72273,70.2,5.644,67.0,5.644,2.94153,55.4,5.664,-3.70801,66.7,5.668,64.3,5.668,-1.25886,68.1,5.7,59.5,5.644,-0.3524,65.6,5.688,64.2,5.636,1.16113,53.4,5.64
09-27-2025-Sat 12-09-50-PM,52.4,5.66,71.5,5.66,1.76588,67.5,5.66,69.4,5.688,2.26904,70.1,5.636,70.6,5.668,3.47855,70.6,5.632,66.8,5.632,1.76588,54.4,5.664,-5.14997,65.6,5.664,63.5,5.668,-2.66825,67.2,5.696,59.3,5.64,-2.03062,64.5,5.688,63.4,5.636,-0.151053,53.0,5.64
09-27-2025-Sat 12-09-52-PM,51.1,5.676,70.8,5.676,1.73202,66.4,5.676,68.5,5.708,2.16825,69.9,5.652,69.9,5.68,3.41162,69.9,5.648,65.9,5.648,1.73202,53.8,5.668,-5.2841,65.1,5.672,63.4,5.672,-2.66825,66.4,5.696,58.7,5.644,-1.99719,64.3,5.692,62.7,5.64,-0.251791,52.3,5.644
