Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 1 Temperature,Cell 2 Current,Cell 2 Voltage,Cell 2 Temperature,Cell 3 Current,Cell 3 Voltage,Cell 3 Temperature,Cell 4 Current,Cell 4 Voltage,Cell 4 Temperature,Cell 5 Current,Cell 5 Voltage,Cell 5 Temperature,Cell 6 Current,Cell 6 Voltage,Cell 6 Temperature,Cell 7 Current,Cell 7 Voltage,Cell 7 Temperature,Cell 8 Current,Cell 8 Voltage,Cell 8 Temperature,Cell 9 Current,Cell 9 Voltage,Cell 9 Temperature,Cell 10 Current,Cell 10 Voltage,Cell 10 Temperature,Cell 11 Current,Cell 11 Voltage,Cell 11 Temperature,Cell 12 Current,Cell 12 Voltage,Cell 12 Temperature,Cell 13 Current,Cell 13 Voltage,Cell 13 Temperature,Cell 14 Current,Cell 14 Voltage,Cell 14 Temperature,Cell 15 Current,Cell 15 Voltage,Cell 15 Temperature,Cell 16 Current,Cell 16 Voltage,Cell 16 Temperature
08-29-2025-Fri 12-04-38-PM,134.6,5.532,20.4617,118.4,5.544,,130.9,5.54,20.6979,110.9,5.608,,128.5,5.496,21.272,110.6,5.576,,108.2,5.492,21.2382,105.9,5.492,,134.6,5.532,,118.4,5.544,20.09,130.9,5.54,,110.9,5.608,20.2923,128.5,5.496,,110.6,5.576,19.5497,108.2,5.492,,105.9,5.492,17.8951
08-29-2025-Fri 12-04-41-PM,133.3,5.536,20.5286,117.5,5.544,,129.9,5.544,20.6979,110.0,5.608,,127.6,5.5,21.272,109.8,5.584,,107.5,5.496,21.0358,104.9,5.496,,133.3,5.536,,117.5,5.544,20.1916,129.9,5.544,,110.0,5.608,20.3262,127.6,5.5,,109.8,5.584,19.6166,107.5,5.496,,104.9,5.496,17.929
08-29-2025-Fri 12-04-43-PM,Power Off,,20.3939,,,,,,20.7318,,,,,,21.2382,,,,,,21.2382,,,,Power Off,,,,,20.1577,,,,,,20.3601,,,,,,19.6166,,,,,,17.8951
08-29-2025-Fri 12-04-45-PM,0.0,2.012,20.4955,0.1,2.24,,-0.3,2.024,20.7995,-0.2,1.868,,-0.2,2.184,21.3059,-0.2,1.964,,-0.4,2.128,21.1704,0.1,1.996,,0.0,2.012,,0.1,2.24,20.1577,-0.3,2.024,,-0.2,1.868,20.3262,-0.2,2.184,,-0.2,1.964,19.6166,-0.4,2.128,,0.1,1.996,17.8951
08-29-2025-Fri 12-04-48-PM,-0.1,1.868,20.5963,-0.3,2.096,,-0.1,1.892,20.7318,-0.4,1.728,,-0.4,2.008,21.3059,-0.1,1.816,,-0.2,1.96,21.1704,-0.4,1.856,,-0.1,1.868,,-0.3,2.096,20.1916,-0.1,1.892,,-0.4,1.728,20.3601,-0.4,2.008,,-0.1,1.816,19.6166,-0.2,1.96,,-0.4,1.856,17.8951
08-29-2025-Fri 12-04-50-PM,0.0,1.776,20.5963,-0.1,2.0,,-0.3,1.816,20.7657,0.1,1.648,,-0.1,1.892,21.272,-0.1,1.728,,-0.3,1.856,21.1374,0.0,1.772,,0.0,1.776,,-0.1,2.0,20.1916,-0.3,1.816,,0.1,1.648,20.3262,-0.1,1.892,,-0.1,1.728,19.5836,-0.3,1.856,,0.0,1.772,17.8612
08-29-2025-Fri 12-04-52-PM,0.0,1.708,20.5625,0.2,1.932,,-0.4,1.764,20.7657,-0.4,1.58,,-0.4,1.804,21.272,-0.2,1.66,,-0.2,1.784,21.1704,-0.1,1.712,,0.0,1.708,,0.2,1.932,20.1577,-0.4,1.764,,-0.4,1.58,20.3601,-0.4,1.804,,-0.2,1.66,19.5836,-0.2,1.784,,-0.1,1.712,17.8612
08-29-2025-Fri 12-04-55-PM,-0.1,1.66,20.5963,-0.1,1.876,,-0.3,1.72,20.7657,-0.2,1.524,,-0.2,1.74,21.272,-0.5,1.612,,0.2,1.724,21.1704,0.0,1.66,,-0.1,1.66,,-0.1,1.876,20.1916,-0.3,1.72,,-0.2,1.524,20.3601,-0.2,1.74,,-0.5,1.612,19.6166,0.2,1.724,,0.0,1.66,17.8612
08-29-2025-Fri 12-04-57-PM,-0.1,1.62,20.5963,-0.1,1.832,,-0.3,1.688,20.8326,-0.3,1.476,,0.0,1.684,21.272,-0.2,1.568,,0.0,1.672,21.1704,-0.2,1.62,,-0.1,1.62,,-0.1,1.832,20.1577,-0.3,1.688,,-0.3,1.476,20.3601,0.0,1.684,,-0.2,1.568,19.6166,0.0,1.672,,-0.2,1.62,17.8274
08-29-2025-Fri 12-05-00-PM,0.0,1.58,20.5286,0.0,1.788,,0.0,1.656,20.7657,-0.1,1.428,,-0.2,1.636,21.272,-0.2,1.536,,-0.2,1.632,21.1704,-0.2,1.58,,0.0,1.58,,0.0,1.788,20.1577,0.0,1.656,,-0.1,1.428,20.3601,-0.2,1.636,,-0.2,1.536,19.5836,-0.2,1.632,,-0.2,1.58,17.7935
08-29-2025-Fri 12-05-02-PM,0.0,1.552,20.4278,0.0,1.752,,-0.1,1.632,20.7318,-0.2,1.388,,-0.4,1.596,21.3059,-0.2,1.504,,0.0,1.596,21.1704,0.2,1.556,,0.0,1.552,,0.0,1.752,20.1916,-0.1,1.632,,-0.2,1.388,20.3601,-0.4,1.596,,-0.2,1.504,19.6166,0.0,1.596,,0.2,1.556,17.7266
08-29-2025-Fri 12-05-04-PM,-0.1,1.52,20.5625,-0.1,1.72,,-0.4,1.612,20.7657,-0.3,1.348,,-0.2,1.568,21.272,0.0,1.476,,-0.1,1.564,21.1704,-0.2,1.528,,-0.1,1.52,,-0.1,1.72,20.1577,-0.4,1.612,,-0.3,1.348,20.3939,-0.2,1.568,,0.0,1.476,19.5836,-0.1,1.564,,-0.2,1.528,17.7604
08-29-2025-Fri 12-05-07-PM,-0.2,1.496,20.5625,-0.1,1.688,,-0.1,1.592,20.8326,-0.1,1.308,,-0.2,1.54,21.3059,-0.4,1.444,,-0.1,1.532,21.1704,-0.1,1.5,,-0.2,1.496,,-0.1,1.688,20.1577,-0.1,1.592,,-0.1,1.308,20.3601,-0.2,1.54,,-0.4,1.444,19.6166,-0.1,1.532,,-0.1,1.5,17.7604
08-29-2025-Fri 12-05-09-PM,0.0,1.472,20.6302,0.1,1.656,,-0.3,1.572,20.8326,-0.1,1.268,,-0.2,1.508,21.272,0.0,1.424,,-0.1,1.504,21.1704,0.2,1.476,,0.0,1.472,,0.1,1.656,20.1916,-0.3,1.572,,-0.1,1.268,20.3939,-0.2,1.508,,0.0,1.424,19.6166,-0.1,1.504,,0.2,1.476,17.7604
08-29-2025-Fri 12-05-11-PM,0.2,1.448,20.5625,0.1,1.624,,0.1,1.556,20.7657,-0.3,1.228,,-0.1,1.484,21.272,0.0,1.4,,0.1,1.48,21.1704,-0.3,1.456,,0.2,1.448,,0.1,1.624,20.1577,0.1,1.556,,-0.3,1.228,20.3601,-0.1,1.484,,0.0,1.4,19.6166,0.1,1.48,,-0.3,1.456,17.6927
08-29-2025-Fri 12-05-14-PM,0.1,1.428,20.5286,0.0,1.588,,-0.4,1.544,20.7995,-0.3,1.184,,-0.2,1.46,21.3059,0.0,1.38,,-0.3,1.452,21.1374,0.0,1.432,,0.1,1.428,,0.0,1.588,20.1916,-0.4,1.544,,-0.3,1.184,20.3939,-0.2,1.46,,0.0,1.38,19.6166,-0.3,1.452,,0.0,1.432,17.6588
08-29-2025-Fri 12-05-16-PM,0.0,1.404,20.5963,-0.2,1.556,,-0.2,1.528,20.7995,0.0,1.148,,-0.3,1.44,21.272,-0.4,1.36,,0.0,1.432,21.1704,-0.2,1.408,,0.0,1.404,,-0.2,1.556,20.1577,-0.2,1.528,,0.0,1.148,20.3601,-0.3,1.44,,-0.4,1.36,19.6166,0.0,1.432,,-0.2,1.408,17.5911
08-29-2025-Fri 12-05-18-PM,0.3,1.384,20.5286,-0.2,1.52,,-0.2,1.512,20.7995,0.2,1.104,,-0.3,1.42,21.3059,-0.2,1.34,,0.0,1.408,21.1704,-0.2,1.388,,0.3,1.384,,-0.2,1.52,20.1916,-0.2,1.512,,0.2,1.104,20.3601,-0.3,1.42,,-0.2,1.34,19.6166,0.0,1.408,,-0.2,1.388,17.5911
08-29-2025-Fri 12-05-21-PM,-0.2,1.36,20.5286,0.0,1.476,,0.0,1.496,20.7657,-0.4,1.056,,-0.2,1.4,21.272,0.0,1.32,,0.0,1.38,21.1704,0.0,1.36,,-0.2,1.36,,0.0,1.476,20.1916,0.0,1.496,,-0.4,1.056,20.3601,-0.2,1.4,,0.0,1.32,19.6166,0.0,1.38,,0.0,1.36,17.5911
08-29-2025-Fri 12-05-24-PM,-0.2,1.34,20.5625,0.0,1.436,,0.0,1.476,20.9003,-0.1,1.004,,-0.2,1.376,21.3059,0.0,1.296,,0.0,1.352,21.1704,-0.1,1.336,,-0.2,1.34,,0.0,1.436,20.1916,0.0,1.476,,-0.1,1.004,20.3601,-0.2,1.376,,0.0,1.296,19.6166,0.0,1.352,,-0.1,1.336,17.558
08-29-2025-Fri 12-05-28-PM,,,20.5963,,,,,,20.7657,,,,,,21.3059,,,,,,21.1704,,,,,,,,,20.1916,,,,,,20.3601,,,,,,19.6505,,,,,,17.5911
08-29-2025-Fri 12-05-33-PM,,,20.5963,,,,,,20.8326,,,,,,21.272,,,,,,21.1704,,,,,,,,,20.1916,,,,,,20.3601,,,,,,19.6505,,,,,,17.5234
08-29-2025-Fri 12-05-37-PM,0.0,1.228,20.5625,-0.3,1.224,,-0.2,1.4,20.8326,0.0,0.892,,-0.1,1.268,21.3059,-0.1,1.188,,-0.2,1.224,21.1704,-0.2,1.212,,0.0,1.228,,-0.3,1.224,20.1916,-0.2,1.4,,0.0,0.892,20.3601,-0.1,1.268,,-0.1,1.188,19.6505,-0.2,1.224,,-0.2,1.212,17.558
08-29-2025-Fri 12-05-40-PM,0.0,1.212,20.5286,-0.5,1.192,,-0.2,1.388,20.7318,-0.3,0.884,,-0.2,1.248,21.272,-0.1,1.168,,-0.1,1.2,21.1374,0.0,1.188,,0.0,1.212,,-0.5,1.192,20.1916,-0.2,1.388,,-0.3,0.884,20.3601,-0.2,1.248,,-0.1,1.168,19.6505,-0.1,1.2,,0.0,1.188,17.558
08-29-2025-Fri 12-05-42-PM,-0.1,1.192,20.5625,0.0,1.172,,-0.2,1.372,20.8665,-0.3,0.876,,-0.4,1.228,21.2382,-0.2,1.156,,0.0,1.176,21.1374,-0.2,1.164,,-0.1,1.192,,0.0,1.172,20.2246,-0.2,1.372,,-0.3,0.876,20.3601,-0.4,1.228,,-0.2,1.156,19.6505,0.0,1.176,,-0.2,1.164,17.5911
08-29-2025-Fri 12-05-44-PM,-0.1,1.176,20.5286,0.0,1.144,,-0.3,1.356,20.7995,-0.1,0.864,,-0.3,1.216,21.2382,0.1,1.14,,0.0,1.156,21.1704,-0.2,1.144,,-0.1,1.176,,0.0,1.144,20.1577,-0.3,1.356,,-0.1,0.864,20.3601,-0.3,1.216,,0.1,1.14,19.6505,0.0,1.156,,-0.2,1.144,17.558
08-29-2025-Fri 12-05-47-PM,0.0,1.16,20.5963,-0.3,1.124,,-0.4,1.344,20.7995,-0.1,0.856,,-0.2,1.192,21.2382,-0.1,1.116,,0.1,1.128,21.1374,-0.1,1.12,,0.0,1.16,,-0.3,1.124,20.1916,-0.4,1.344,,-0.1,0.856,20.3601,-0.2,1.192,,-0.1,1.116,19.6505,0.1,1.128,,-0.1,1.12,17.5911
08-29-2025-Fri 12-05-50-PM,0.0,1.14,20.6979,0.0,1.104,,-0.2,1.32,20.7995,0.1,0.848,,0.0,1.168,21.2382,0.0,1.1,,0.0,1.1,21.1374,0.1,1.092,,0.0,1.14,,0.0,1.104,20.1916,-0.2,1.32,,0.1,0.848,20.3601,0.0,1.168,,0.0,1.1,19.6505,0.0,1.1,,0.1,1.092,17.558
08-29-2025-Fri 12-05-53-PM,0.1,1.112,20.5625,0.0,1.072,,-0.3,1.296,20.7995,-0.3,0.84,,-0.3,1.128,21.2382,-0.2,1.072,,-0.4,1.056,21.1374,-0.3,1.048,,0.1,1.112,,0.0,1.072,20.1916,-0.3,1.296,,-0.3,0.84,20.3601,-0.3,1.128,,-0.2,1.072,19.6505,-0.4,1.056,,-0.3,1.048,17.558
08-29-2025-Fri 12-05-56-PM,0.1,1.092,20.5625,-0.3,1.052,,-0.3,1.288,20.8326,-0.3,0.832,,-0.2,1.104,21.2382,-0.2,1.048,,-0.5,1.036,21.1035,0.0,1.02,,0.1,1.092,,-0.3,1.052,20.2246,-0.3,1.288,,-0.3,0.832,20.3262,-0.2,1.104,,-0.2,1.048,19.6844,-0.5,1.036,,0.0,1.02,17.5234
08-29-2025-Fri 12-05-58-PM,-0.1,1.068,20.6302,-0.1,1.04,,-0.4,1.268,20.6979,-0.4,0.828,,-0.2,1.076,21.2382,-0.4,1.032,,0.0,1.016,21.1035,0.0,0.996,,-0.1,1.068,,-0.1,1.04,20.1916,-0.4,1.268,,-0.4,0.828,20.3601,-0.2,1.076,,-0.4,1.032,19.6505,0.0,1.016,,0.0,0.996,17.4565
08-29-2025-Fri 12-06-01-PM,-0.2,1.048,20.6302,-0.4,1.02,,-0.1,1.256,20.7657,-0.4,0.824,,-0.1,1.044,21.2382,-0.1,1.012,,0.0,0.992,21.1035,-0.2,0.972,,-0.2,1.048,,-0.4,1.02,20.2246,-0.1,1.256,,-0.4,0.824,20.3262,-0.1,1.044,,-0.1,1.012,19.6505,0.0,0.992,,-0.2,0.972,17.4903
08-29-2025-Fri 12-06-03-PM,0.1,1.028,20.6302,0.2,1.012,,-0.5,1.236,20.7657,-0.4,0.816,,-0.2,1.02,21.2051,-0.2,0.992,,0.0,0.98,21.1035,-0.1,0.948,,0.1,1.028,,0.2,1.012,20.1577,-0.5,1.236,,-0.4,0.816,20.3262,-0.2,1.02,,-0.2,0.992,19.6505,0.0,0.98,,-0.1,0.948,17.4903
08-29-2025-Fri 12-06-05-PM,0.2,1.004,20.6302,0.0,0.996,,-0.1,1.228,20.7318,-0.3,0.812,,-0.3,0.996,21.2051,0.0,0.976,,-0.4,0.96,21.0697,-0.2,0.932,,0.2,1.004,,0.0,0.996,20.1916,-0.1,1.228,,-0.3,0.812,20.3262,-0.3,0.996,,0.0,0.976,19.6505,-0.4,0.96,,-0.2,0.932,17.4565
08-29-2025-Fri 12-06-08-PM,0.2,0.98,20.6302,0.1,0.984,,-0.1,1.208,20.7995,-0.1,0.808,,-0.1,0.972,21.2051,-0.4,0.96,,-0.3,0.943999,21.0697,-0.2,0.908,,0.2,0.98,,0.1,0.984,20.1577,-0.1,1.208,,-0.1,0.808,20.2923,-0.1,0.972,,-0.4,0.96,19.6505,-0.3,0.943999,,-0.2,0.908,17.5234
08-29-2025-Fri 12-06-10-PM,-0.2,0.96,20.5625,0.0,0.976,,-0.2,1.192,20.7318,-0.5,0.808,,-0.2,0.948,21.2051,-0.2,0.948,,-0.1,0.928,21.0358,-0.3,0.896,,-0.2,0.96,,0.0,0.976,20.1916,-0.2,1.192,,-0.5,0.808,20.2923,-0.2,0.948,,-0.2,0.948,19.6844,-0.1,0.928,,-0.3,0.896,17.4226
08-29-2025-Fri 12-06-13-PM,0.1,0.94,20.6302,0.1,0.964,,-0.3,1.18,20.7318,-0.1,0.804,,-0.3,0.928,21.1704,-0.1,0.932,,-0.4,0.92,21.0358,-0.2,0.88,,0.1,0.94,,0.1,0.964,20.1577,-0.3,1.18,,-0.1,0.804,20.2593,-0.3,0.928,,-0.1,0.932,19.6505,-0.4,0.92,,-0.2,0.88,17.4565
08-29-2025-Fri 12-06-15-PM,-0.2,0.916,20.5625,-0.2,0.952,,-0.2,1.164,20.7657,-0.2,0.804,,-0.5,0.912,21.1374,-0.4,0.924,,-0.2,0.908,21.0358,-0.1,0.872,,-0.2,0.916,,-0.2,0.952,20.1238,-0.2,1.164,,-0.2,0.804,20.2923,-0.5,0.912,,-0.4,0.924,19.6505,-0.2,0.908,,-0.1,0.872,17.3887
08-29-2025-Fri 12-06-17-PM,0.1,0.896,20.5963,-0.1,0.943999,,-0.1,1.152,20.6641,-0.1,0.8,,-0.4,0.9,21.1704,-0.5,0.916,,-0.1,0.896,21.0019,-0.1,0.86,,0.1,0.896,,-0.1,0.943999,20.1238,-0.1,1.152,,-0.1,0.8,20.2593,-0.4,0.9,,-0.5,0.916,19.6505,-0.1,0.896,,-0.1,0.86,17.3887
08-29-2025-Fri 12-06-20-PM,-0.2,0.88,20.5625,-0.2,0.936,,-0.3,1.136,20.6979,-0.3,0.8,,-0.3,0.884,21.1374,-0.5,0.904,,-0.2,0.888,21.0019,-0.1,0.848,,-0.2,0.88,,-0.2,0.936,20.1238,-0.3,1.136,,-0.3,0.8,20.2246,-0.3,0.884,,-0.5,0.904,19.6166,-0.2,0.888,,-0.1,0.848,17.2871
08-29-2025-Fri 12-06-22-PM,-0.3,0.868,20.5286,0.2,0.928,,-0.2,1.12,20.7318,-0.2,0.804,,-0.1,0.876,21.1374,-0.1,0.9,,-0.1,0.872,20.9342,-0.2,0.84,,-0.3,0.868,,0.2,0.928,20.1238,-0.2,1.12,,-0.2,0.804,20.2246,-0.1,0.876,,-0.1,0.9,19.6505,-0.1,0.872,,-0.2,0.84,17.3887
08-29-2025-Fri 12-06-24-PM,-0.2,0.856,20.4617,-0.1,0.916,,-0.1,1.108,20.6302,-0.3,0.8,,-0.5,0.86,21.1035,-0.2,0.892,,-0.2,0.868,20.9342,-0.2,0.836,,-0.2,0.856,,-0.1,0.916,20.09,-0.1,1.108,,-0.3,0.8,20.1916,-0.5,0.86,,-0.2,0.892,19.6166,-0.2,0.868,,-0.2,0.836,17.2202
08-29-2025-Fri 12-06-27-PM,-0.1,0.844,20.4617,-0.1,0.912,,-0.5,1.096,20.6979,-0.3,0.8,,-0.5,0.852,21.0697,-0.3,0.888,,-0.1,0.86,20.9003,-0.1,0.828,,-0.1,0.844,,-0.1,0.912,20.09,-0.5,1.096,,-0.3,0.8,20.1577,-0.5,0.852,,-0.3,0.888,19.5836,-0.1,0.86,,-0.1,0.828,17.2202
08-29-2025-Fri 12-06-29-PM,-0.1,0.836,20.4617,-0.2,0.904,,-0.2,1.08,20.5963,-0.3,0.8,,-0.2,0.844,21.0358,-0.1,0.88,,0.0,0.852,20.8326,-0.2,0.82,,-0.1,0.836,,-0.2,0.904,20.0561,-0.2,1.08,,-0.3,0.8,20.1577,-0.2,0.844,,-0.1,0.88,19.5836,0.0,0.852,,-0.2,0.82,17.2541
08-29-2025-Fri 12-06-31-PM,0.1,0.824,20.4617,-0.2,0.892,,-0.1,1.072,20.6302,-0.4,0.796,,-0.4,0.836,21.0019,-0.2,0.872,,-0.2,0.844,20.7995,-0.2,0.82,,0.1,0.824,,-0.2,0.892,20.0222,-0.1,1.072,,-0.4,0.796,20.1238,-0.4,0.836,,-0.2,0.872,19.5836,-0.2,0.844,,-0.2,0.82,17.2541
08-29-2025-Fri 12-06-34-PM,0.0,0.82,20.3601,0.0,0.888,,0.0,1.056,20.5963,-0.3,0.8,,0.0,0.832,21.0019,-0.4,0.872,,0.0,0.84,20.7657,0.1,0.812,,0.0,0.82,,0.0,0.888,20.0222,0.0,1.056,,-0.3,0.8,20.09,0.0,0.832,,-0.4,0.872,19.5497,0.0,0.84,,0.1,0.812,17.2202
08-29-2025-Fri 12-06-36-PM,-0.3,0.808,20.4278,0.0,0.88,,-0.2,1.048,20.4617,-0.4,0.8,,-0.4,0.824,20.9681,0.0,0.864,,-0.2,0.828,20.7318,-0.2,0.812,,-0.3,0.808,,0.0,0.88,19.9545,-0.2,1.048,,-0.4,0.8,20.0561,-0.4,0.824,,0.0,0.864,19.5497,-0.2,0.828,,-0.2,0.812,17.1186
08-29-2025-Fri 12-06-39-PM,-0.3,0.804,20.2923,-0.2,0.872,,0.0,1.04,20.5625,-0.2,0.8,,-0.3,0.82,20.9342,-0.4,0.864,,0.0,0.824,20.6979,-0.2,0.808,,-0.3,0.804,,-0.2,0.872,19.9545,0.0,1.04,,-0.2,0.8,20.0222,-0.3,0.82,,-0.4,0.864,19.5158,0.0,0.824,,-0.2,0.808,17.1186
08-29-2025-Fri 12-06-41-PM,-0.3,0.804,20.2923,-0.3,0.864,,-0.4,1.028,20.4278,-0.3,0.796,,-0.4,0.816,20.9003,-0.2,0.86,,-0.3,0.82,20.6302,-0.2,0.804,,-0.3,0.804,,-0.3,0.864,19.9206,-0.4,1.028,,-0.3,0.796,19.9884,-0.4,0.816,,-0.2,0.86,19.482,-0.3,0.82,,-0.2,0.804,17.0517
08-29-2025-Fri 12-06-43-PM,-0.1,0.8,20.2923,-0.2,0.86,,-0.6,1.02,20.3939,-0.4,0.8,,-0.7,0.816,20.9003,-0.2,0.852,,0.0,0.816,20.5625,-0.1,0.8,,-0.1,0.8,,-0.2,0.86,19.8876,-0.6,1.02,,-0.4,0.8,19.9545,-0.7,0.816,,-0.2,0.852,19.482,0.0,0.816,,-0.1,0.8,17.017
08-29-2025-Fri 12-06-46-PM,-0.3,0.8,20.09,0.0,0.856,,-0.3,1.012,20.3601,-0.2,0.8,,-0.4,0.808,20.8326,0.1,0.848,,-0.3,0.812,20.5625,-0.1,0.8,,-0.3,0.8,,0.0,0.856,19.8198,-0.3,1.012,,-0.2,0.8,19.8876,-0.4,0.808,,0.1,0.848,19.4481,-0.3,0.812,,-0.1,0.8,16.9501
08-29-2025-Fri 12-06-48-PM,-0.1,0.796,20.09,-0.2,0.852,,-0.4,1.004,20.3262,0.1,0.8,,0.1,0.804,20.7657,0.0,0.848,,-0.2,0.812,20.5286,0.0,0.8,,-0.1,0.796,,-0.2,0.852,19.8198,-0.4,1.004,,0.1,0.8,19.8537,0.1,0.804,,0.0,0.848,19.4481,-0.2,0.812,,0.0,0.8,16.9162
08-29-2025-Fri 12-06-50-PM,0.0,0.792,20.1238,-0.1,0.844,,-0.3,0.996,20.3262,-0.3,0.804,,-0.3,0.8,20.7657,0.0,0.844,,0.0,0.808,20.4617,-0.3,0.796,,0.0,0.792,,-0.1,0.844,19.786,-0.3,0.996,,-0.3,0.804,19.786,-0.3,0.8,,0.0,0.844,19.4142,0.0,0.808,,-0.3,0.796,16.8493
08-29-2025-Fri 12-06-53-PM,-0.2,0.792,20.1577,-0.2,0.84,,-0.3,0.992,20.2593,0.0,0.8,,-0.5,0.8,20.7318,0.0,0.836,,-0.2,0.804,20.4278,-0.2,0.796,,-0.2,0.792,,-0.2,0.84,19.7521,-0.3,0.992,,0.0,0.8,19.7521,-0.5,0.8,,0.0,0.836,19.3804,-0.2,0.804,,-0.2,0.796,16.8493
08-29-2025-Fri 12-06-55-PM,0.1,0.796,19.9545,-0.1,0.832,,-0.3,0.98,20.2246,-0.4,0.8,,-0.4,0.796,20.7318,0.0,0.84,,-0.3,0.804,20.3601,0.1,0.796,,0.1,0.796,,-0.1,0.832,19.7182,-0.3,0.98,,-0.4,0.8,19.7182,-0.4,0.796,,0.0,0.84,19.3465,-0.3,0.804,,0.1,0.796,16.7477
