all_data_POWER_ON_only_2025-08-28
Timestamp,Cell 1 - Current - ,Cell 1 - Voltage - ,Cell 1 - Temperature - ,Cell 2 - Current - ,Cell 2 - Voltage - ,Cell 2 - Temperature - ,Cell 3 - Current - ,Cell 3 - Voltage - ,Cell 3 - Temperature - ,Cell 4 - Current - ,Cell 4 - Voltage - ,Cell 4 - Temperature - ,Cell 5 - Current ,Cell 5 - Voltage ,Cell 5 - Temperature ,Cell 6 - Current ,Cell 6 - Voltage ,Cell 6 - Temperature ,Cell 7 - Current ,Cell 7 - Voltage ,Cell 7 - Temperature ,Cell 8 - Current ,Cell 8 - Voltage ,Cell 8 - Temperature ,Cell 9 - Current ,Cell 9 - Voltage ,Cell 9 - Temperature ,Cell 10 - Current ,Cell 10 - Voltage ,Cell 10 - Temperature ,Cell 11 - Current ,Cell 11 - Voltage ,Cell 11 - Temperature ,Cell 12 - Current ,Cell 12 - Voltage ,Cell 12 - Temperature ,Cell 13 - Current ,Cell 13 - Voltage ,Cell 13 - Temperature ,Cell 14 - Current ,Cell 14 - Voltage ,Cell 14 - Temperature ,Cell 15 - Current ,Cell 15 - Voltage ,Cell 15 - Temperature ,Cell 16 - Current ,Cell 16 - Voltage ,Cell 16 - Temperature 
08-28-2025-Thu 19-10-38-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.7,5.644,14.0497,79.8,5.656,14.7907,88.2,5.652,16.0058,95.2,5.692,16.8493,118.0,5.6,15.3648,98.5,5.668,16.0728,97.6,5.596,16.8493,99.7,5.592,15.7019
08-28-2025-Thu 19-11-11-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.0,5.644,13.6779,79.2,5.656,14.4536,87.8,5.652,15.6003,94.2,5.696,16.4776,116.7,5.604,15.0269,96.9,5.672,15.7019,96.6,5.596,16.2082,99.2,5.596,15.3309
08-28-2025-Thu 19-11-14-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.0,5.644,13.6449,79.1,5.656,14.3867,86.9,5.656,15.4656,94.0,5.7,16.309,116.4,5.604,15.0608,97.0,5.668,15.7357,96.1,5.6,16.376,98.5,5.6,15.2293
08-28-2025-Thu 19-11-16-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.1,5.648,13.6779,79.3,5.656,14.3528,86.2,5.656,15.6003,93.9,5.7,16.3429,115.9,5.608,14.96,97.7,5.676,15.6003,95.7,5.6,16.1736,98.0,5.6,15.0608
08-28-2025-Thu 19-11-18-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.5,5.648,13.6449,79.2,5.66,14.319,86.3,5.656,15.5672,93.8,5.7,16.3429,116.0,5.608,14.9931,97.7,5.672,15.6341,95.6,5.604,16.4437,97.5,5.6,15.3309
08-28-2025-Thu 19-11-33-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.4,5.648,13.4756,79.8,5.66,14.2182,86.7,5.656,15.4317,93.9,5.7,16.1405,116.0,5.608,14.9262,97.3,5.676,15.4656,95.5,5.604,16.309,98.0,5.6,15.1955
08-28-2025-Thu 19-11-35-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.3,5.648,13.4086,79.3,5.656,14.2182,86.3,5.66,15.4317,93.5,5.7,16.1066,115.6,5.608,14.8923,97.6,5.672,15.4995,94.8,5.604,16.0389,97.4,5.604,15.1955
08-28-2025-Thu 19-11-37-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.0,5.648,13.3748,79.4,5.656,14.1505,86.0,5.66,15.4656,93.3,5.7,16.1405,115.5,5.608,14.8584,97.9,5.672,15.4995,94.7,5.6,16.2752,97.1,5.604,14.8923
08-28-2025-Thu 19-11-40-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.3,5.652,13.4086,79.1,5.66,14.2182,85.6,5.66,15.4317,93.1,5.7,16.1405,115.3,5.608,14.8246,97.8,5.676,15.4995,94.8,5.604,16.0728,96.7,5.604,14.9931
08-28-2025-Thu 19-11-42-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.0,5.652,13.4425,79.4,5.66,14.1166,85.9,5.66,15.3979,93.5,5.7,16.1736,115.1,5.608,14.8246,98.1,5.676,15.4656,94.7,5.604,16.1066,96.9,5.604,15.1285
08-28-2025-Thu 19-11-44-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.9,5.652,13.4425,79.3,5.66,14.1505,86.1,5.656,15.3309,93.2,5.704,16.1405,114.8,5.608,14.8584,97.3,5.676,15.4656,94.5,5.608,16.2413,96.6,5.6,15.1624
08-28-2025-Thu 19-11-47-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.9,5.648,13.4086,79.2,5.66,14.1166,85.8,5.656,15.2632,93.0,5.7,16.2413,114.8,5.608,14.8246,97.2,5.672,15.4317,94.3,5.604,15.9042,96.4,5.604,15.0947
08-28-2025-Thu 19-11-49-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.8,5.652,13.4425,79.2,5.66,14.1505,85.8,5.656,15.2293,93.3,5.7,16.1736,114.9,5.612,14.7907,97.0,5.672,15.3979,94.5,5.604,16.0058,96.4,5.604,14.7907
08-28-2025-Thu 19-11-52-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.5,5.652,13.3748,78.7,5.664,14.1166,85.6,5.656,15.2293,92.9,5.704,16.0728,114.8,5.608,14.8246,97.1,5.676,15.4656,94.5,5.604,16.1066,96.3,5.604,14.8584
08-28-2025-Thu 19-11-54-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.6,5.652,13.3748,79.5,5.66,14.0497,85.7,5.656,15.2632,93.1,5.704,16.1405,114.6,5.608,14.8246,96.9,5.676,15.4317,94.2,5.604,15.9712,96.5,5.604,14.8246
08-28-2025-Thu 19-11-56-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.4,5.648,13.4086,79.3,5.66,14.0497,85.8,5.656,15.2293,93.0,5.7,16.1066,114.8,5.608,14.8246,96.7,5.676,15.3979,94.1,5.604,16.1736,96.4,5.604,14.8246
08-28-2025-Thu 19-11-59-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.652,13.4086,79.4,5.66,14.0497,85.9,5.656,15.2632,93.0,5.704,16.1066,114.8,5.612,14.8584,96.6,5.672,15.3648,94.2,5.604,15.9042,96.4,5.604,14.8246
08-28-2025-Thu 19-12-01-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.648,13.4086,79.2,5.66,14.0158,85.6,5.66,15.2971,93.1,5.7,16.0728,114.6,5.608,14.8584,96.5,5.672,15.3648,93.8,5.604,16.1405,96.3,5.604,14.7907
08-28-2025-Thu 19-12-03-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.1,5.652,13.3078,79.0,5.656,14.0158,85.8,5.656,15.1285,92.8,5.704,16.1066,114.6,5.608,14.7907,96.6,5.676,15.2971,94.1,5.604,15.8026,96.1,5.604,14.7907
08-28-2025-Thu 19-12-06-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.652,13.3409,79.2,5.66,13.9481,85.8,5.66,15.2632,92.9,5.7,16.0389,114.4,5.608,14.8246,96.5,5.676,15.4317,93.6,5.6,15.7357,96.0,5.604,14.7576
08-28-2025-Thu 19-12-08-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.6,5.652,13.274,79.2,5.664,13.9481,85.5,5.66,15.1624,92.4,5.7,16.0058,114.3,5.608,14.8246,96.4,5.676,15.2632,93.9,5.608,15.8365,95.8,5.604,14.96
08-28-2025-Thu 19-12-10-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.4,5.652,13.274,79.2,5.664,13.9142,86.0,5.66,15.1624,92.5,5.704,15.8704,114.0,5.608,14.7576,96.7,5.676,15.2632,93.9,5.608,15.7357,95.8,5.604,14.8923
08-28-2025-Thu 19-12-13-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.1,5.652,13.3078,79.1,5.66,13.9481,85.5,5.656,15.1624,92.4,5.7,15.9381,113.7,5.608,14.7907,96.4,5.676,15.2971,93.3,5.604,15.7019,95.5,5.604,14.6899
08-28-2025-Thu 19-12-15-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.648,13.274,79.4,5.66,13.7795,85.7,5.656,15.0947,92.5,5.7,15.9381,113.5,5.608,14.7576,96.3,5.672,15.2632,93.5,5.604,15.4656,95.6,5.604,14.7907
08-28-2025-Thu 19-12-18-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.652,13.274,79.3,5.66,13.8473,85.8,5.656,15.1285,92.6,5.7,15.9381,113.6,5.608,14.7238,96.4,5.676,15.2632,93.3,5.604,15.7019,95.6,5.604,14.4875
08-28-2025-Thu 19-12-20-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.648,13.2062,79.0,5.66,13.7457,85.7,5.66,15.0269,92.5,5.7,15.8365,113.3,5.612,14.7238,96.5,5.676,15.2971,93.5,5.604,15.668,95.3,5.604,14.7907
08-28-2025-Thu 19-12-22-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.5,5.656,13.2062,78.9,5.66,13.8134,85.4,5.66,15.0947,92.7,5.704,15.8365,113.4,5.612,14.6899,96.5,5.676,15.2632,93.3,5.608,15.4995,95.2,5.604,14.5214
08-28-2025-Thu 19-12-25-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.5,5.652,13.1054,79.0,5.66,13.7126,85.5,5.66,14.9931,92.3,5.704,15.9042,113.1,5.608,14.6899,96.4,5.68,15.2293,93.4,5.604,15.6003,95.2,5.604,14.6222
08-28-2025-Thu 19-12-27-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.3,5.648,13.1393,79.0,5.66,13.6779,86.0,5.656,14.9931,92.3,5.704,15.7688,113.4,5.612,14.7238,96.5,5.676,15.2293,93.1,5.608,15.668,95.2,5.604,14.4536
08-28-2025-Thu 19-12-30-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.652,13.0716,79.0,5.664,13.6449,85.6,5.66,14.9262,92.7,5.7,15.7688,113.3,5.612,14.6899,96.3,5.676,15.1955,93.1,5.604,15.5333,94.9,5.604,14.5214
08-28-2025-Thu 19-12-32-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.4,5.652,13.0038,78.9,5.66,13.611,85.7,5.66,14.8584,92.6,5.704,15.6003,113.2,5.612,14.5883,96.2,5.676,15.1955,93.0,5.608,15.4995,94.9,5.604,14.6222
08-28-2025-Thu 19-12-34-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.652,12.9708,79.0,5.664,13.5433,85.6,5.66,14.8584,92.4,5.7,15.8365,113.1,5.612,14.6222,96.2,5.68,15.1624,93.2,5.608,15.5333,94.9,5.608,14.6222
08-28-2025-Thu 19-12-37-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.656,12.9708,78.9,5.668,13.4425,85.8,5.66,14.8923,92.4,5.704,15.668,112.9,5.612,14.656,96.6,5.676,15.1285,93.0,5.608,15.4317,94.7,5.608,14.2512
08-28-2025-Thu 19-12-39-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.656,12.9369,78.7,5.664,13.4425,85.7,5.66,14.7907,92.4,5.704,15.7688,113.0,5.616,14.6222,96.4,5.68,15.1285,93.0,5.608,15.3648,94.7,5.608,14.4536
08-28-2025-Thu 19-12-41-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.4,5.652,12.8692,78.9,5.66,13.3409,85.6,5.66,14.6899,92.3,5.7,15.668,112.8,5.616,14.5552,96.5,5.676,15.0608,92.7,5.612,15.3648,94.7,5.608,14.3867
08-28-2025-Thu 19-12-44-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.2,5.648,12.8353,78.9,5.664,13.3409,85.5,5.66,14.7576,92.5,5.704,15.6341,112.9,5.612,14.5552,96.4,5.676,15.1285,92.8,5.608,15.4317,94.5,5.608,14.1505
08-28-2025-Thu 19-12-46-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.1,5.656,12.7684,78.9,5.668,13.3409,85.7,5.66,14.7576,92.4,5.704,15.6341,112.8,5.616,14.5883,96.5,5.68,14.9931,92.6,5.608,15.1285,94.5,5.608,14.2851
08-28-2025-Thu 19-12-49-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.1,5.652,12.8353,79.0,5.66,13.3078,85.8,5.66,14.6222,92.3,5.704,15.5672,112.8,5.612,14.4206,96.4,5.676,15.0608,92.3,5.612,15.3979,94.1,5.608,14.3867
08-28-2025-Thu 19-12-51-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.9,5.656,12.7345,79.2,5.664,13.2062,85.6,5.66,14.6899,92.3,5.7,15.5672,112.6,5.612,14.4875,96.2,5.676,15.0269,92.3,5.608,15.3648,94.1,5.608,14.1843
08-28-2025-Thu 19-12-53-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.8,5.652,12.6676,78.7,5.668,13.1393,85.8,5.66,14.5552,92.2,5.704,15.3979,112.8,5.612,14.4536,96.3,5.68,14.96,92.6,5.608,15.3648,94.0,5.608,14.319
08-28-2025-Thu 19-12-56-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.8,5.656,12.7345,78.7,5.66,13.1393,85.6,5.656,14.5552,92.0,5.7,15.4995,112.6,5.612,14.3867,96.4,5.68,15.0269,92.0,5.608,15.2971,93.8,5.608,14.1843
08-28-2025-Thu 19-12-58-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.8,5.648,12.7007,78.7,5.66,13.0716,85.4,5.66,14.5552,92.5,5.7,15.4656,112.6,5.612,14.3867,96.5,5.676,14.96,92.2,5.608,15.2632,94.0,5.608,14.2512
08-28-2025-Thu 19-13-00-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.0,5.656,12.6676,78.7,5.664,13.0716,85.5,5.66,14.4875,92.3,5.704,15.4656,112.5,5.612,14.3867,97.1,5.676,14.9262,92.1,5.612,15.3309,93.8,5.608,14.2851
08-28-2025-Thu 19-13-03-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.9,5.652,12.566,78.7,5.668,12.9369,85.9,5.664,14.5214,92.4,5.704,15.2632,112.4,5.616,14.319,96.7,5.68,14.8246,91.8,5.612,15.1624,93.7,5.612,14.1166
08-28-2025-Thu 19-13-05-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.1,5.652,12.4983,78.6,5.664,13.0377,85.9,5.66,14.3867,92.1,5.704,15.4317,112.3,5.612,14.2182,96.8,5.68,14.8246,91.7,5.608,15.1955,93.8,5.612,14.0497
08-28-2025-Thu 19-13-08-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.8,5.656,12.4983,78.6,5.664,12.9708,85.6,5.66,14.3528,92.3,5.7,15.2632,112.1,5.616,14.2851,96.5,5.68,14.8584,92.0,5.608,15.0608,93.7,5.608,14.0497
08-28-2025-Thu 19-13-10-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.5,5.652,12.4313,78.1,5.664,12.8692,85.4,5.66,14.3867,92.0,5.704,15.2971,111.9,5.616,14.2182,96.7,5.68,14.8584,91.6,5.612,15.0269,93.5,5.612,14.0497
08-28-2025-Thu 19-13-13-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.6,5.652,12.3975,78.3,5.664,12.903,85.2,5.66,14.3867,91.9,5.704,15.3309,111.7,5.616,14.1843,96.8,5.68,14.7907,91.4,5.608,14.96,93.7,5.612,13.9481
08-28-2025-Thu 19-13-15-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.7,5.656,12.3975,78.1,5.668,12.8353,85.2,5.66,14.2851,92.0,5.704,15.1624,111.8,5.616,14.1505,96.5,5.68,14.7576,91.6,5.612,14.96,93.5,5.608,13.7795
08-28-2025-Thu 19-13-18-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.7,5.656,12.3636,78.1,5.668,12.7007,85.3,5.66,14.319,91.8,5.704,15.1285,111.6,5.616,14.1505,96.5,5.676,14.6899,91.4,5.612,15.0947,93.2,5.612,13.6779
08-28-2025-Thu 19-13-20-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.8,5.656,12.3636,78.2,5.664,12.7007,85.7,5.66,14.3528,91.7,5.704,15.2293,111.7,5.612,14.1843,96.1,5.68,14.7576,91.4,5.608,14.9931,93.5,5.612,13.8134
08-28-2025-Thu 19-13-23-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.6,5.652,12.229,78.2,5.664,12.7007,85.3,5.66,14.1505,91.9,5.704,15.1624,111.3,5.612,14.0827,96.2,5.68,14.6899,91.2,5.612,14.8246,93.4,5.608,13.8134
08-28-2025-Thu 19-13-25-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.4,5.656,12.162,78.5,5.664,12.5321,85.5,5.66,14.319,91.7,5.704,15.1285,110.9,5.612,14.1166,96.2,5.68,14.5883,91.3,5.612,14.96,93.2,5.608,13.9142
08-28-2025-Thu 19-13-28-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.7,5.656,12.0943,78.4,5.668,12.5999,85.5,5.66,14.1505,91.8,5.704,15.0608,111.0,5.616,14.0497,96.4,5.68,14.5883,91.3,5.612,14.7576,93.0,5.612,13.8134
08-28-2025-Thu 19-13-30-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.8,5.656,12.0943,78.3,5.664,12.5321,85.5,5.664,14.0827,91.7,5.704,15.0269,111.0,5.616,14.0158,96.0,5.68,14.5883,91.2,5.612,14.7907,93.4,5.612,13.6779
08-28-2025-Thu 19-13-32-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.5,5.656,12.0943,78.1,5.664,12.4983,85.6,5.66,14.0827,91.6,5.704,15.0269,111.2,5.612,14.0158,96.3,5.68,14.5214,91.0,5.612,14.6899,92.8,5.612,13.7795
08-28-2025-Thu 19-13-35-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.4,5.656,12.0604,78.0,5.668,12.4652,85.3,5.664,14.0827,91.8,5.704,14.96,111.1,5.62,13.9481,95.6,5.68,14.5214,91.1,5.612,14.7907,92.7,5.612,13.611
08-28-2025-Thu 19-13-37-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.3,5.652,11.9258,78.5,5.664,12.5321,85.4,5.66,14.0827,91.7,5.704,14.9262,111.0,5.616,13.9481,95.4,5.68,14.5552,91.0,5.616,14.7238,92.6,5.612,13.9142
08-28-2025-Thu 19-13-40-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.4,5.652,11.9596,78.4,5.664,12.4652,85.5,5.664,13.9481,91.2,5.708,14.8584,111.0,5.616,13.8803,95.8,5.68,14.4536,91.0,5.612,14.7576,92.7,5.612,13.6449
08-28-2025-Thu 19-13-42-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.3,5.656,12.0274,78.0,5.668,12.3636,85.2,5.664,13.9142,91.4,5.704,14.7238,110.9,5.62,13.9142,95.7,5.68,14.4536,90.5,5.612,14.7907,92.4,5.616,13.5433
08-28-2025-Thu 19-13-44-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.6,5.66,11.8919,78.3,5.664,12.4652,85.1,5.664,13.9819,91.3,5.704,14.7907,110.7,5.616,13.8803,95.4,5.68,14.4206,90.6,5.612,14.6899,92.5,5.612,13.4756
08-28-2025-Thu 19-13-47-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.4,5.656,11.8588,78.3,5.664,12.3297,85.2,5.664,13.9481,91.5,5.704,14.8923,110.8,5.616,13.7795,95.8,5.68,14.3867,90.8,5.612,14.8246,92.4,5.612,13.4425
08-28-2025-Thu 19-13-49-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.2,5.656,11.825,78.2,5.664,12.3297,85.3,5.664,13.9142,91.6,5.7,14.8584,110.8,5.616,13.7457,95.5,5.68,14.319,90.4,5.608,14.5214,92.4,5.612,13.4425
08-28-2025-Thu 19-13-51-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.1,5.656,11.7911,78.2,5.664,12.3636,85.3,5.664,13.8473,91.3,5.704,14.7907,110.8,5.616,13.7795,95.5,5.68,14.2851,90.5,5.612,14.5214,92.2,5.612,13.4756
08-28-2025-Thu 19-13-54-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.2,5.656,11.7911,78.2,5.664,12.2967,85.1,5.664,13.8134,91.3,5.704,14.7238,110.5,5.616,13.7457,95.7,5.68,14.1843,90.3,5.608,14.656,92.1,5.612,13.2062
08-28-2025-Thu 19-13-56-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.3,5.656,11.7242,78.3,5.668,12.229,85.2,5.66,13.8473,91.4,5.704,14.656,110.4,5.616,13.7126,95.5,5.68,14.319,89.9,5.612,14.5883,91.9,5.616,13.4425
08-28-2025-Thu 19-13-59-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.1,5.656,11.6895,78.2,5.664,12.1951,85.1,5.66,13.7795,91.1,5.708,14.7238,110.3,5.616,13.6779,95.4,5.68,14.1843,90.0,5.612,14.5214,92.5,5.616,13.5433
08-28-2025-Thu 19-14-01-PM,,,,,,,,,,,,,,,,,,,,,,,,,96.2,5.656,11.6895,78.1,5.664,12.1951,85.4,5.664,13.7795,91.4,5.704,14.6222,110.4,5.616,13.6779,96.6,5.68,14.2182,90.1,5.616,14.4875,92.2,5.612,13.4425
